Models,Eurorad-Accuracy w/ CI,Ophthalmology Accuracy w/ CI,NMED Treatment MEDIAN (SC) + 95% CI,,NMED Diagnosis MEDIAN (SC) + 95% CI,,admin
GPT-5,88.9 (84.6-93.2),73.8 (66.3-81.4),0.67 (0.61-0.73),,0.72 (0.67-0.78),,Alif
GPT-o4-mini,84.1 (79.1-89.0),71.5 (63.8-79.3),0.60 (0.55-0.66),,1.19 (1.11-1.26),,Alif
DeepSeek-R1,81.6 (76.4-86.9),79.2 (72.3-86.2),0.56 (0.51-0.60),,0.58 (0.53-0.62),,Alif
gpt-oss-20b (L),74.4 (68.5-80.3),59.2 (50.8-67.7),0.58 (0.53-0.63),,0.64 (0.58-0.70),,Alif
gpt-oss-20b (M),77.3 (71.6-83.0),63.8 (55.6-72.1),0.59 (0.54-0.64),,0.67 (0.61-0.73),,Alif
gpt-oss-20b (H),80.7 (75.3-86.1),66.2 (58.0-74.3),0.58 (0.53-0.63),,0.65 (0.59-0.71),,Alif
gpt-oss-120b (L),84.1 (79.1-89.0),73.1 (65.5-80.7),0.58 (0.53-0.63),,0.70 (0.63-0.77),,Alif
gpt-oss-120b (M),80.2 (74.8-85.6),77.7 (70.5-84.8),0.57 (0.52-0.62),,0.70 (0.64-0.77),,Alif
gpt-oss-120b (H),82.6 (77.4-87.8),70.0 (62.1-77.9),0.58 (0.53-0.63),,0.70 (0.64-0.77),,Alif
finetuned-gpt-oss-20b (L),86.5 (81.8-91.1),,,,,,Alhusain
oss-5beams,,,0.60 (0.55-0.65),,,,
oss-11beams,,,,,0.62 (0.56-0.69),,
