task,model,median_error,iqr_lo,iqr_hi,n
Diagnosis,GPT-5.1,0.0,-0.5,0.104,720
Diagnosis,GPT-5-mini,-0.5,-1.104,0.0,720
Diagnosis,Gemini 3.1,0.0,0.0,0.5,720
Diagnosis,DeepSeek-R1,-0.333,-0.667,0.0,720
Diagnosis,gpt-oss-20b (H),-0.25,-0.667,0.0,720
Diagnosis,gpt-oss-120b (H),0.0,-0.5,0.271,720
Diagnosis,Qwen3.5 9B,0.0,0.0,0.5,720
Diagnosis,Qwen3.5 27B,0.0,0.0,0.5,720
Diagnosis,Qwen3.5 35B,0.0,-0.083,0.5,720
Diagnosis,Gemma 4 31B,0.0,0.0,0.5,720
Treatment,GPT-5.1,0.333,0.0,0.667,595
Treatment,GPT-5-mini,0.25,0.0,0.667,595
Treatment,Gemini 3.1,0.5,0.0,1.0,595
Treatment,DeepSeek-R1,0.25,0.0,0.667,595
Treatment,gpt-oss-20b (H),0.167,-0.292,0.5,595
Treatment,gpt-oss-120b (H),0.167,-0.167,0.5,595
Treatment,Qwen3.5 9B,0.5,0.0,0.833,595
Treatment,Qwen3.5 27B,0.5,0.0,0.833,595
Treatment,Qwen3.5 35B,0.5,0.0,1.0,595
Treatment,Gemma 4 31B,0.5,0.0,0.75,595
